"Date","Price","Open","High","Low","Vol.","Change %"
"07/25/2019","3,006.50","3,018.00","3,027.75","2,998.00","1.33M","-0.50%"
"07/24/2019","3,021.50","3,003.00","3,022.00","2,996.00","1.07M","0.45%"
"07/23/2019","3,008.00","2,988.75","3,008.50","2,987.50","1.06M","0.64%"
"07/22/2019","2,989.00","2,974.50","2,993.50","2,972.50","1.10M","0.40%"
"07/19/2019","2,977.00","3,003.75","3,009.75","2,969.50","1.48M","-0.68%"
"07/18/2019","2,997.50","2,980.75","3,005.25","2,974.50","1.35M","0.42%"
"07/17/2019","2,985.00","3,005.75","3,013.00","2,980.50","1.04M","-0.73%"
"07/16/2019","3,007.00","3,017.25","3,021.75","3,004.50","939.81K","-0.34%"
"07/15/2019","3,017.25","3,015.25","3,023.50","3,010.75","829.94K","0.06%"
"07/12/2019","3,015.50","3,003.00","3,018.00","3,002.25","969.96K","0.38%"
"07/11/2019","3,004.00","2,996.00","3,006.75","2,992.50","1.18M","0.22%"
"07/10/2019","2,997.50","2,982.25","3,007.50","2,971.25","1.42M","0.52%"
"07/09/2019","2,982.00","2,977.75","2,986.25","2,963.50","956.65K","0.12%"
"07/08/2019","2,978.50","2,990.75","2,994.75","2,973.25","1.02M","-0.40%"
"07/05/2019","2,990.50","3,000.75","3,006.00","2,971.25","1.34M","-0.40%"
"07/04/2019","3,002.62","2,999.38","3,003.62","2,997.38","","0.08%"
"07/03/2019","3,000.25","2,979.00","3,001.50","2,973.75","805.26K","0.70%"
"07/02/2019","2,979.50","2,968.00","2,980.00","2,958.50","1.12M","0.40%"
"07/01/2019","2,967.75","2,970.00","2,981.75","2,955.50","1.46M","0.80%"
"06/28/2019","2,944.25","2,932.75","2,955.25","2,930.00","1.32M","0.45%"
"06/27/2019","2,931.00","2,914.75","2,935.75","2,914.75","1.06M","0.45%"
"06/26/2019","2,918.00","2,922.50","2,939.00","2,914.50","1.23M","-0.14%"
"06/25/2019","2,922.00","2,951.00","2,958.25","2,920.00","1.42M","-1.02%"
"06/24/2019","2,952.00","2,948.00","2,961.75","2,947.25","910.17K","-0.06%"
"06/21/2019","2,953.90","2,953.75","2,956.00","2,944.00","47.73K","-0.06%"
"06/20/2019","2,955.75","2,926.75","2,960.00","2,926.00","473.31K","0.91%"
"06/19/2019","2,929.00","2,920.50","2,932.50","2,909.00","638.95K","0.25%"
"06/18/2019","2,921.75","2,893.50","2,931.75","2,884.50","1.07M","1.03%"
"06/17/2019","2,892.00","2,890.75","2,900.75","2,887.75","1.16M","0.05%"
"06/14/2019","2,890.50","2,893.75","2,898.75","2,880.50","1.26M","-0.14%"
"06/13/2019","2,894.50","2,882.00","2,896.50","2,867.25","1.44M","0.47%"
"06/12/2019","2,881.00","2,887.25","2,891.00","2,875.25","1.21M","-0.21%"
"06/11/2019","2,887.00","2,890.25","2,911.50","2,879.25","1.40M","-0.08%"
"06/10/2019","2,889.25","2,893.25","2,905.75","2,880.50","1.42M","0.50%"
"06/07/2019","2,875.00","2,840.00","2,886.25","2,838.00","1.69M","1.03%"
"06/06/2019","2,845.75","2,820.50","2,853.00","2,812.75","1.57M","0.64%"
"06/05/2019","2,827.75","2,806.50","2,829.50","2,801.00","1.74M","0.81%"
"06/04/2019","2,805.00","2,754.00","2,806.25","2,744.00","1.84M","2.02%"
"06/03/2019","2,749.50","2,741.00","2,763.75","2,728.75","2.30M","-0.11%"
"05/31/2019","2,752.50","2,788.75","2,791.00","2,750.00","2.21M","-1.36%"
"05/30/2019","2,790.50","2,779.50","2,799.00","2,776.50","1.28M","0.38%"
"05/29/2019","2,780.00","2,804.25","2,806.00","2,766.25","2.09M","-0.89%"
"05/28/2019","2,805.00","2,831.00","2,841.25","2,800.50","1.63M","-1.00%"
"05/27/2019","2,833.25","2,829.88","2,838.38","2,826.62","","0.09%"
"05/26/2019","2,830.62","2,830.88","2,834.88","2,829.38","","-0.04%"
"05/24/2019","2,831.75","2,821.75","2,842.00","2,819.25","1.20M","0.43%"
"05/23/2019","2,819.50","2,857.75","2,858.50","2,805.75","2.01M","-1.33%"
"05/22/2019","2,857.50","2,864.75","2,869.50","2,848.25","1.26M","-0.30%"
"05/21/2019","2,866.00","2,848.00","2,870.75","2,846.25","1.30M","0.77%"
"05/20/2019","2,844.00","2,861.50","2,876.50","2,832.50","1.66M","-0.63%"
"05/17/2019","2,862.00","2,879.75","2,887.50","2,852.50","1.93M","-0.57%"
"05/16/2019","2,878.50","2,853.50","2,894.00","2,840.50","1.69M","0.82%"
"05/15/2019","2,855.00","2,840.75","2,860.00","2,815.00","1.75M","0.55%"
"05/14/2019","2,839.25","2,806.00","2,853.75","2,799.75","1.80M","1.15%"
"05/13/2019","2,807.00","2,858.50","2,869.25","2,802.00","2.79M","-2.77%"
"05/10/2019","2,887.00","2,869.75","2,893.00","2,826.00","2.85M","0.50%"
"05/09/2019","2,872.75","2,884.00","2,885.50","2,836.25","2.71M","-0.50%"
"05/08/2019","2,887.25","2,889.75","2,899.50","2,868.75","2.04M","-0.12%"
"05/07/2019","2,890.75","2,911.75","2,930.50","2,862.50","2.81M","-1.42%"
"05/06/2019","2,932.50","2,917.75","2,938.25","2,883.50","2.04M","-0.51%"
"05/03/2019","2,947.50","2,918.50","2,949.50","2,916.50","1.30M","1.03%"
"05/02/2019","2,917.50","2,916.50","2,932.75","2,901.00","1.81M","-0.19%"
"05/01/2019","2,923.00","2,955.00","2,961.25","2,916.00","1.50M","-0.86%"
"04/30/2019","2,948.50","2,942.50","2,956.50","2,926.00","1.49M","0.19%"
"04/29/2019","2,943.00","2,939.25","2,951.50","2,937.75","944.85K","0.05%"
"04/26/2019","2,941.50","2,923.75","2,942.75","2,917.25","1.25M","0.52%"
"04/25/2019","2,926.25","2,930.00","2,935.75","2,914.25","1.38M","-0.15%"
"04/24/2019","2,930.75","2,937.25","2,939.75","2,927.75","1.13M","-0.25%"
"04/23/2019","2,938.00","2,911.75","2,939.75","2,908.00","1.19M","0.88%"
"04/22/2019","2,912.50","2,908.75","2,915.75","2,899.00","706.07K","0.07%"
"04/19/2019","2,910.50","2,910.50","2,910.50","2,910.50","","0.02%"
"04/18/2019","2,910.00","2,901.00","2,911.75","2,889.50","1.34M","0.33%"
"04/17/2019","2,900.50","2,910.25","2,923.50","2,898.50","1.38M","-0.38%"
"04/16/2019","2,911.50","2,910.25","2,921.25","2,904.50","1.12M","0.07%"
"04/15/2019","2,909.50","2,912.00","2,914.50","2,900.50","955.66K","-0.10%"
"04/12/2019","2,912.50","2,892.00","2,914.75","2,890.75","1.23M","0.72%"
"04/11/2019","2,891.75","2,894.75","2,900.00","2,885.25","968.65K","-0.10%"
"04/10/2019","2,894.50","2,882.00","2,896.00","2,878.00","972.31K","0.42%"
"04/09/2019","2,882.50","2,898.50","2,900.00","2,877.25","1.18M","-0.54%"
"04/08/2019","2,898.25","2,896.25","2,899.75","2,884.25","978.91K","0.08%"
"04/05/2019","2,896.00","2,882.50","2,898.00","2,880.50","1.22M","0.46%"
"04/04/2019","2,882.75","2,880.75","2,885.75","2,871.00","1.05M","0.10%"
"04/03/2019","2,879.75","2,866.00","2,889.25","2,865.25","1.24M","0.44%"
"04/02/2019","2,867.00","2,868.50","2,873.75","2,862.25","859.94K","-0.12%"
"04/01/2019","2,870.50","2,844.50","2,873.50","2,844.50","1.26M","1.15%"
"03/29/2019","2,837.75","2,820.50","2,840.75","2,820.25","1.49M","0.59%"
"03/28/2019","2,821.00","2,807.00","2,824.25","2,795.00","1.19M","0.37%"
"03/27/2019","2,810.50","2,823.50","2,831.75","2,791.75","1.73M","-0.44%"
"03/26/2019","2,823.00","2,808.50","2,835.00","2,806.00","1.46M","0.57%"
"03/25/2019","2,807.00","2,813.00","2,818.50","2,789.50","1.80M","-0.13%"
"03/22/2019","2,810.75","2,859.50","2,864.75","2,805.25","2.25M","-1.81%"
"03/21/2019","2,862.50","2,823.75","2,866.00","2,813.75","1.66M","1.26%"
"03/20/2019","2,827.00","2,837.25","2,849.25","2,817.25","1.69M","-0.33%"
"03/19/2019","2,836.50","2,841.50","2,858.75","2,829.00","1.50M","-0.14%"
"03/18/2019","2,840.50","2,827.00","2,842.00","2,824.00","1.04M","1.02%"
"03/15/2019","2,811.89","2,808.00","2,821.50","2,807.50","42.98K","0.17%"
"03/14/2019","2,807.25","2,816.00","2,820.00","2,803.75","330.52K","-0.26%"
"03/13/2019","2,814.50","2,792.25","2,821.25","2,783.00","583.01K","0.81%"
"03/12/2019","2,792.00","2,784.75","2,798.25","2,780.50","958.32K","0.29%"
"03/11/2019","2,784.00","2,745.50","2,787.50","2,736.75","1.30M","1.35%"
"03/08/2019","2,747.00","2,749.00","2,751.50","2,722.00","1.38M","-0.11%"
"03/07/2019","2,750.00","2,770.50","2,776.25","2,738.50","1.92M","-0.78%"
"03/06/2019","2,771.50","2,786.50","2,792.75","2,768.50","1.51M","-0.72%"
"03/05/2019","2,791.50","2,790.50","2,799.00","2,783.25","1.20M","0.00%"
"03/04/2019","2,791.50","2,814.00","2,819.75","2,767.50","1.79M","-0.48%"
"03/01/2019","2,805.00","2,785.25","2,808.25","2,783.00","1.27M","0.73%"
"02/28/2019","2,784.75","2,795.25","2,795.75","2,781.75","1.36M","-0.37%"
"02/27/2019","2,795.00","2,788.00","2,797.25","2,775.00","1.14M","0.13%"
